kingdom	phylum	class	order	family	genus	species	lastvalue	otu_seq_comp_appr	otu_db	lsid	taxonRank	specificEpithet
asv.2193	Eukaryota		Chrysophyceae		Apoikiaceae	Apoikiospumella	Apoikiospumella mondseeiensis	Apoikiospumella mondseeiensis	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2319	Eukaryota	Mollusca	Bivalvia				Bivalvia sp. BOLD_ACQ7224	Bivalvia sp. BOLD_ACQ7224	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2365	Eukaryota	Arthropoda					Arthropoda sp. ZP222	Arthropoda sp. ZP222	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2352	Eukaryota		Phaeophyceae	Ectocarpales	Acinetosporaceae		Acinetosporaceae sp. 16 AP_2014	Acinetosporaceae sp. 16 AP_2014	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2382	Eukaryota	Arthropoda	Insecta	Odonata	Libellulidae	Trithemis	Trithemis pallidinervis	Trithemis pallidinervis	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2451	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida			Harpacticoida sp. DNZ085	Harpacticoida sp. DNZ085	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2443	Eukaryota	Arthropoda	Insecta	Coleoptera	Coccinellidae	Nephus	Nephus sp. CO589	Nephus sp. CO589	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2478	Eukaryota	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Lucida	Lucida lucia	Lucida lucia	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2503	Eukaryota	Rhodophyta	Florideophyceae	Corallinales			Corallinales sp.	Corallinales sp.	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2547	Eukaryota						Amoebozoa sp.	Amoebozoa sp.	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2563	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae		Balanidae sp. 1 SR_2017	Balanidae sp. 1 SR_2017	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2567	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae		Balanidae sp. 1 SR_2017	Balanidae sp. 1 SR_2017	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2580	Eukaryota	Mollusca	Bivalvia				Bivalvia sp. BOLD_ACQ7224	Bivalvia sp. BOLD_ACQ7224	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2624	Eukaryota	Oomycota		Peronosporales	Peronosporaceae	Nothophytophthora		Nothophytophthora	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2952	Eukaryota		Bigyra	Thraustochytrida	Thraustochytriaceae	Aurantiochytrium		Aurantiochytrium	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2962	Eukaryota	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus	Onthophagus sagittarius	Onthophagus sagittarius	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3053	Eukaryota	Arthropoda	Arachnida	Araneae	Cheiracanthiidae	Cheiracanthium	Cheiracanthium sp. 2 HY_2020	Cheiracanthium sp. 2 HY_2020	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3107	Eukaryota		Bigyra	Thraustochytrida	Thraustochytriaceae	Botryochytrium	Botryochytrium radiatum	Botryochytrium radiatum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3127	Eukaryota		Phaeophyceae	Ectocarpales	Acinetosporaceae		Acinetosporaceae sp. 2 AP_2014	Acinetosporaceae sp. 2 AP_2014	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3222	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Juglanconidaceae	Juglanconis	Juglanconis sp.	Juglanconis sp.	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3232	Eukaryota	Oomycota		Saprolegniales	Saprolegniaceae	Achlya	Achlya oligacantha	Achlya oligacantha	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3253	Eukaryota	Arthropoda	Arachnida	Araneae	Linyphiidae	Arcuphantes	Arcuphantes pennatus	Arcuphantes pennatus	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3398	Eukaryota	Arthropoda	Insecta	Lepidoptera			Lepidoptera gen. sp. ACU5906	Lepidoptera gen. sp. ACU5906	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3418	Eukaryota	Cnidaria	Hydrozoa				Hydrozoa sp. HS0174	Hydrozoa sp. HS0174	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3423	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae		Balanidae sp. 1 SR_2017	Balanidae sp. 1 SR_2017	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3447	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae			Obeliidae	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3462	Eukaryota	Mollusca	Bivalvia				Bivalvia sp. BOLD_ACQ7224	Bivalvia sp. BOLD_ACQ7224	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3553	Eukaryota	Arthropoda	Malacostraca	Bathynellacea	Parabathynellidae		Parabathynellidae sp. H_SPA045	Parabathynellidae sp. H_SPA045	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3648	Eukaryota	Porifera	Demospongiae	Haplosclerida	Chalinidae		Chalinidae sp. HS0146	Chalinidae sp. HS0146	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3670	Eukaryota	Oomycota		Saprolegniales	Saprolegniaceae	Brevilegnia	Brevilegnia macrospora	Brevilegnia macrospora	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3853	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum candidum	Geotrichum candidum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3863	Eukaryota	Picozoa					Picobiliphyte sp. MS584_11	Picobiliphyte sp. MS584_11	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3865	Eukaryota	Discosea	Flabellinia	Dactylopodida	Paramoebidae	Cunea	Cunea thuwala	Cunea thuwala	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3892	Eukaryota		Phaeophyceae	Ectocarpales	Chordariaceae		Chordariaceae sp. 22 AP_2014	Chordariaceae sp. 22 AP_2014	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3910	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Afroptilum	Afroptilum sudafricanum	Afroptilum sudafricanum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.3964	Eukaryota	Chlorophyta	Trebouxiophyceae				Trebouxiophyceae sp. MX_AZ01	Trebouxiophyceae sp. MX_AZ01	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4105	Eukaryota		Bigyra	Thraustochytrida	Thraustochytriaceae	Botryochytrium	Botryochytrium radiatum	Botryochytrium radiatum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4150	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae		Polynoidae sp. BOLD_AAY5847	Polynoidae sp. BOLD_AAY5847	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4131	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae		Spionidae sp. USNM IZ 1450562	Spionidae sp. USNM IZ 1450562	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4210	Eukaryota	Arthropoda	Insecta	Lepidoptera	Noctuidae		Noctuidae sp. HELNA941_10	Noctuidae sp. HELNA941_10	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4292	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	Powellomyces hirtus	Powellomyces hirtus	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4357	Eukaryota	Arthropoda	Collembola	Poduromorpha	Neanuridae	Neanura	Neanura muscorum	Neanura muscorum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
